"launch_date","recalls_number","manufacturer_ref","defect","make","model","build_start","build_end"
"07.01.2020",NULL,"7891003","Eine nicht der Spezifikation entsprechende Verklebung kann zum Ablösen des Glasschiebehebedachs führen. ","MERCEDES-BENZ","C-KLASSE, E-KLASSE, CLK, CLS","2000","2010"
"19.12.2019",NULL,"9190204","Aufgrund einer fehlerhaften Insassenklassifizierung des Beifahrersitzes könnte bei Airbagauslösung der Airbag trotz eines Insassen deaktiviert bzw. trotz eines Kindersitzes aktiviert sein. ","MERCEDES-BENZ","A-KLASSE, B-KLASSE","2014","2017"
"11.02.2020",NULL,"1590007","Aufgrund elektrochemischer Vorgänge kann es zum elektrischen Kontakt verschiedener stromführender Systeme kommen. In der Folge besteht Brandgefahr. ","MERCEDES-BENZ","CLS, E-KLASSE","2015","2019"
"07.01.2020",NULL,"5499303","Entfernung unzulässiger Abschalteinrichtungen bzw. der unzulässigen Reduzierung der Wirksamkeit des Emissionskontrollsystems","MERCEDES-BENZ","SLK","2015","2017"
"07.01.2020",NULL,"5499636","Entfernung unzulässiger Abschalteinrichtungen bzw. der unzulässigen Reduzierung der Wirksamkeit des Emissionskontrollsystems","MERCEDES-BENZ","C-KLASSE, S-KLASSE","2013","2016"
"07.01.2020",NULL,"5499636","Entfernung unzulässiger Abschalteinrichtungen bzw. der unzulässigen Reduzierung der Wirksamkeit des Emissionskontrollsystems","MERCEDES-BENZ","GLE","2015","2018"
"07.01.2020",NULL,"5496121","Entfernung unzulässiger Abschalteinrichtungen bzw. der unzulässigen Reduzierung der Wirksamkeit des Emissionskontrollsystems","MERCEDES-BENZ","E-KLASSE","2014","2016"
"27.01.2020",NULL,"VS2STANGE","Eine fehlerhafte Kombination aus Kopfstütze und Kopfstützenstange kann zu einer erhöhten Verletzungsgefahr bei Eintreten eines Unfalls führen. ","MERCEDES-BENZ","VITO, V-KLASSE","2019","2019"
"26.02.2020",NULL,"5497507","Unzulässige Abschalteinrichtung bzw. unzulässige Reduzierung der Wirksamkeit des Emissionskontrollsystems. ","MERCEDES-BENZ","E-KLASSE","2010","2011"
"10.01.2020",NULL,"0052920200","Die ISOFIX-Befestigungen können geschädigt werden, wodurch Insassen dort befestigter Kindersitze einem erhöhten Verletzungsrisiko ausgesetzt sind. ","BMW","X6","2013","2019"
"27.01.2020",NULL,"5496127","Unzulässige Abschalteinrichtung bzw. unzulässige Reduzierung der Wirksamkeit des Emissionskontrollsystems. ","MERCEDES-BENZ","GLK","2012","2015"
"17.01.2020",NULL,"19S46","Die Schrauben der Rücksitzarretierungen sowie des mittleren Gurtaufrollmechanismus wurden möglicherweise nicht mit dem korrekten Drehmoment verschraubt. In der Folge ist die Verletzungsgefahr bei Auftreten eines Unfalls erhöht. ","FORD","FIESTA","2019","2019"
"15.01.2020",NULL,"19S40","Fehler in einer Befestigung der Batterieplusleitung kann zum Ausfall der Fahrzeugelektrik und des Motors führen sowie die Brandgefahr erhöhen. ","FORD","F-150","2018","2019"
"21.02.2020",NULL,"2890002","Aufgrund nicht der Spezifikation entsprechender Bolzen im Verteilergetriebe kann es zu einer Blockade der Räder im Fahrbetrieb kommen. ","MERCEDES-BENZ","G-KLASSE","2020","2020"
"07.01.2020",NULL,"5496121","Entfernung unzulässiger Abschalteinrichtungen bzw. der unzulässigen Reduzierung der Wirksamkeit des Emissionskontrollsystems","MERCEDES-BENZ","E-KLASSE","2013","2014"
"07.01.2020",NULL,"5496121","Entfernung unzulässiger Abschalteinrichtungen bzw. der unzulässigen Reduzierung der Wirksamkeit des Emissionskontrollsystems","MERCEDES-BENZ","S-KLASSE","2016","2017"
"29.01.2020",NULL,"3295024","Aufgrund einer eingeschränkten Funktion der Leuchtweitenregelung kann es zu einer Blendung des Gegenverkehrs kommen. ","MERCEDES-BENZ","AMG C","2015","2016"
"06.02.2020",NULL,"5496143","Entfernung unzulässiger Abschalteinrichtungen bzw. der unzulässigen Reduzierung der Wirksamkeit des Emissionskontrollsystems. ","MERCEDES-BENZ","GLE","2011","2015"
"15.08.2017",NULL,"0032560200","Fehler im Gasgenerator des Fahrerairbags führt bei Airbagauslösung zu unkontrollierter Entfaltung","BMW","X3, M6","2011","2012"
"06/05/2004","R/2004/084","","Possibility that the pin operating the master cylinder may have been welded incorrectly. Resulting in the inability (on failure) to de-clutch or engage a gear.","BMW","5 SERIES","25/06/2001","31/07/2002"
"20/10/2012","R/2012/113","2C458R","On affected vehicles the seatback latch may fail to engage correctly  resulting in the rear seatback not being positively secured to the body striker.","FORD","RANGER","05/09/2011","10/05/2012"
"31.03.2015",NULL,"0016970100","Fehlerhafte Nickelbeschichtung innerhalb der Kraftstoffpumpe kann zu Verunreinigung führen, in der Folge zum Motorausfall. ","BMW","1, 2, 3, 4","2013","2014"
"24/02/2011","R/2011/013","1U365","Investigations have identified an issue with the second row seating recliner locking mechanism.  It is possible that the seat latch mechanism can be damaged if the seat back is repeatedly slammed into the folded position.  If significant damage has occurred there is a possibility that the seat can be forced to a reclined position without lifting the release lever.","FORD","GRAND CMAX","01/03/2010","14/01/2011"
"29.11.2013",NULL,"3C530","Riss in der Kraftstoffpumpe kann zum Austritt von Kraftstoff führen. ","FORD","EXPLORER, TAURUS, MKT","2011","2013"
"21/02/2008","R/2008/001","7C153","In markets where salt is used on roads in winter  corrosion may form and propagate into the electronic fan control module and in extreme cases may cause the module to overheat. In rare cases the overheating may be sufficient to ignite the module  surrounding wiring and components.","FORD","FOCUS","16/07/2004","01/12/2006"
"24/07/2019","R/2019/369","0013090300","The flange of the HPFP may not have been attached to the cylinder head according to specifications.","BMW","M5","20/02/2019","20/02/2019"
"24/07/2019","R/2019/369","0013090300","The flange of the HPFP may not have been attached to the cylinder head according to specifications.","BMW","8 SERIES","13/03/2019","26/04/2019"
"05/12/2007","R/2007/133","7C127","Hard brake pedal may occur in low ambient temperatures which is caused by a non return valve in the vacuum pump sticking.","FORD","S-MAX","02/11/2005","30/12/2006"
"05/12/2007","R/2007/133","7C127","Hard brake pedal may occur in low ambient temperatures which is caused by a non return valve in the vacuum pump sticking.","FORD","FOCUS","01/08/2005","28/12/2006"
"05/12/2007","R/2007/133","7C127","Hard brake pedal may occur in low ambient temperatures which is caused by a non return valve in the vacuum pump sticking.","FORD","CMAX","01/08/2005","28/12/2006"
"05/12/2007","R/2007/133","7C127","Hard brake pedal may occur in low ambient temperatures which is caused by a non return valve in the vacuum pump sticking.","FORD","GALAXY ","02/11/2005","30/12/2006"
"03.06.2016",NULL,"0041760100","ISOFIX-Kindersitz-Befestigungsbügel kann brechen und im Falle eines Unfalls das Verletzungsrisiko erhöhen. ","BMW","X3, X4","2010","2016"
"01.01.2008",NULL,"8C527","Plötzliches Auslösen des Beifahrerairbags","FORD","ESCORT, MONDEO, SCORPIO","1996","1998"
"03/12/2019","R/2019/299","HRB17316","Potential for a thermal overload of auxiliary switchboard","MERCEDES BENZ BUS","CITARO","01/10/2015","25/07/2019"
"15.08.2011",NULL,"4694036","Durch ein fehlerhaftes elektrisches Bauteil kann die Servolenkung ausfallen. ","MERCEDES-BENZ","CLS-KLASSE, E-KLASSE","2010","2011"
"21.09.2016",NULL,"0033030200","Nicht der Spezifikation entsprechende Verschraubung des Hinterachsträgers kann zu kritischen Fahrsituationen führen. ","BMW","M2, M3, M4","2014","2016"
"13/06/2002","R/2002/069","1660","The brake pedal return stop bracket may fracture and permit the pedal to rise above its normal rest position.  This could delay application of the brake in an emergency.","MERCEDES BENZ","VARIO RANGE","01/01/1996","31/12/2000"
"06.09.2012",NULL,"2C461","Durch einen fehlerhaften Kabelstecker kann es zu einem Klemmen der Drosselklappe kommen. ","FORD","MAVERICK","2001","2001"
"20.02.2017",NULL,"0032480200","Fehler im Gasgenerator des Fahrerairbags führt bei Airbagauslösung zu unkontrollierter Entfaltung. ","BMW","3, 5, X5","1999","2003"
"26.03.2013",NULL,"9290044","Im Crashfall kann die Verriegelung der Fondlehne versagen. ","MERCEDES-BENZ","B-KLASSE","2012","2012"
"29/04/2019","R/2019/104","SRV1901","The Digital Owner's Manual contains an incorrect description of the vehicle jack support points at the rear axle. ","MERCEDES-BENZ VANS UK LTD","SPRINTER 907","02/10/2018","30/10/2018"
"29/04/2019","R/2019/104","SRV1901","The Digital Owner's Manual contains an incorrect description of the vehicle jack support points at the rear axle. ","MERCEDES-BENZ VANS UK LTD","SPRINTER 907","02/10/2018","30/10/2018"
"18/09/2019","R/2019/075","TI182.00M19032A","Drivers cabin door may not open due to corrosion in the wiring junction.","MERCEDES BENZ BUS","CAPACITY","17/10/2016","30/11/2018"
"18/09/2019","R/2019/075","TI182.00M19032A","Drivers cabin door may not open due to corrosion in the wiring junction.","MERCEDES BENZ BUS","CITARO G NGT","17/10/2016","30/11/2018"
"18/09/2019","R/2019/075","TI182.00M19032A","Drivers cabin door may not open due to corrosion in the wiring junction.","MERCEDES BENZ BUS","CAPACITY L","17/10/2016","30/11/2018"
"08.07.2014",NULL,"9193042","Teile des Frontairbags der Beifahrerseite können sich lösen. ","MERCEDES-BENZ","SL, SLK","2014","2014"
"18/09/2019","R/2019/075","TI182.00M19032A","Drivers cabin door may not open due to corrosion in the wiring junction.","MERCEDES BENZ BUS","CONECTO G","17/10/2016","30/11/2018"
"18/09/2019","R/2019/075","TI182.00M19032A","Drivers cabin door may not open due to corrosion in the wiring junction.","MERCEDES BENZ BUS","CITARO LE MU ","17/10/2016","30/11/2018"
"18/09/2019","R/2019/075","TI182.00M19032A","Drivers cabin door may not open due to corrosion in the wiring junction.","MERCEDES BENZ BUS","CITARO GU","17/10/2016","30/11/2018"
"18/09/2019","R/2019/075","TI182.00M19032A","Drivers cabin door may not open due to corrosion in the wiring junction.","MERCEDES BENZ BUS","CONECTO.","17/10/2016","30/11/2018"
"18/09/2019","R/2019/075","TI182.00M19032A","Drivers cabin door may not open due to corrosion in the wiring junction.","MERCEDES BENZ BUS","CITARO","01/11/2016","01/01/2019"
"18/09/2019","R/2019/075","TI182.00M19032A","Drivers cabin door may not open due to corrosion in the wiring junction.","MERCEDES BENZ BUS","CITARO U","17/10/2016","30/11/2018"
"18/09/2019","R/2019/075","TI182.00M19032A","Drivers cabin door may not open due to corrosion in the wiring junction.","MERCEDES BENZ BUS","CITARO G","17/10/2016","30/11/2018"
"18/09/2019","R/2019/075","TI182.00M19032A","Drivers cabin door may not open due to corrosion in the wiring junction.","MERCEDES BENZ BUS","CITARO LE U","17/10/2016","30/11/2018"
"18/09/2019","R/2019/075","TI182.00M19032A","Drivers cabin door may not open due to corrosion in the wiring junction.","MERCEDES BENZ BUS","CITARO K","17/10/2016","30/11/2018"
"18/09/2019","R/2019/075","TI182.00M19032A","Drivers cabin door may not open due to corrosion in the wiring junction.","MERCEDES BENZ BUS","CITARO LE","17/10/2016","30/11/2018"
"18/09/2019","R/2019/075","TI182.00M19032A","Drivers cabin door may not open due to corrosion in the wiring junction.","MERCEDES BENZ BUS","CITARO NGT","17/10/2016","30/11/2018"
"18/02/2020","R/2019/324","SRX2000","The head restraints in the rear may have been installed with an incorrect substructure including the head restraint bars.  ","MERCEDES-BENZ CARS UK LTD","V CLASS","13/03/2019","21/03/2019"
"20/12/2018","RM/2018/044","00 00 62 04 00","The malfunction indicator light is not activated correctly in the event of a fault.","BMW MOTORRAD","F800GSA","14/10/2015","16/09/2016"
"20/12/2018","RM/2018/044","00 00 62 04 00","The malfunction indicator light is not activated correctly in the event of a fault.","BMW MOTORRAD","C650GT","14/10/2015","16/09/2016"
"20/12/2018","RM/2018/044","00 00 62 04 00","The malfunction indicator light is not activated correctly in the event of a fault.","BMW MOTORRAD","C600 SPORT","14/10/2015","16/09/2016"
"20/12/2018","RM/2018/044","00 00 62 04 00","The malfunction indicator light is not activated correctly in the event of a fault.","BMW MOTORRAD","R 9 T Scrambler","14/10/2015","16/09/2016"
"09/08/2019","R/2019/223","SRX1902","Possible chafing of the brake line against the engine.","MERCEDES-BENZ VANS UK LTD","VITO 447","24/04/2019","24/04/2019"
"18.09.2013",NULL,"3C522","Kraftstoffleck an Rücklaufleitung im Motorraum. ","FORD","GALAXY, S-MAX, MONDEO","2012","2013"
"08/01/2016","R/2015/232","SRPC1602","Incorrect software may have been installed during manufacture. This may cause erratic idling when coming to a halt and the engine may shut down. Consequently the auto start/stop may not operate as intended.","MERCEDES BENZ","S CLASS","14/08/2013","29/10/2015"
"08/01/2016","R/2015/232","SRPC1602","Incorrect software may have been installed during manufacture. This may cause erratic idling when coming to a halt and the engine may shut down. Consequently the auto start/stop may not operate as intended.","MERCEDES BENZ","S CLASS","08/05/2014","10/11/2015"
"21/12/2018","R/2018/291","18S29","The rear wing (spoiler) valve block may leak of hydraulic fluid onto the exhaust.","FORD","GT","20/12/2016","31/07/2018"
"14/06/2005","R/2005/040","C029","Cracks may appear on the hubs of the non-driven axles in the vicinity of the wheel mounts","MERCEDES BENZ","ACTROS RANGE","01/01/1999","31/12/1999"
"29/11/2012","R/2012/091","P196","It has been established that if the vehicle is fitted with all weather or ribbed floor mats the accelerator/throttle pedal may contact the floor mat. Although this will just be a temporary contact  this could delay the accelerator/throttle pedal releasing.","MERCEDES BENZ","M CLASS","01/01/2011","31/12/2011"
"17/10/2019","R/2019/304","SRPC1934","Improve the vehicle emissions via software updates.","MERCEDES-BENZ CARS UK LTD","GLE","01/04/2019","30/06/2019"
"17/10/2019","R/2019/304","SRPC1934","Improve the vehicle emissions via software updates.","MERCEDES-BENZ CARS UK LTD","E-CLASS","01/02/2013","30/11/2017"
"17/10/2019","R/2019/304","SRPC1934","Improve the vehicle emissions via software updates.","MERCEDES-BENZ CARS UK LTD","E-CLASS","01/02/2013","30/11/2017"
"17/10/2019","R/2019/304","SRPC1934","Improve the vehicle emissions via software updates.","MERCEDES-BENZ CARS UK LTD","GLE","01/02/2013","30/11/2017"
"17/10/2019","R/2019/304","SRPC1934","Improve the vehicle emissions via software updates.","MERCEDES-BENZ CARS UK LTD","GLE COUPE","01/02/2013","30/11/2017"
"17/10/2019","R/2019/304","SRPC1934","Improve the vehicle emissions via software updates.","MERCEDES-BENZ CARS UK LTD","GLS","01/02/2013","30/11/2017"
"17/10/2019","R/2019/304","SRPC1934","Improve the vehicle emissions via software updates.","MERCEDES-BENZ CARS UK LTD","GLE COUPE","01/02/2013","30/11/2017"
"17/10/2019","R/2019/304","SRPC1934","Improve the vehicle emissions via software updates.","MERCEDES-BENZ CARS UK LTD","GLS","01/02/2013","30/11/2017"
"17/10/2019","R/2019/304","SRPC1934","Improve the vehicle emissions via software updates.","MERCEDES-BENZ CARS UK LTD","GLE","01/02/2013","30/11/2017"
"27.02.2015",NULL,"4C593","Korrosion von Kraftstoffleitungen kann zum Austritt von Kraftstoff führen. ","FORD","ECOSPORT","2013","2014"
"05/08/2010","R/2010/083","0c319","Due to high road salt usage in winter  the engine cooling fan module may suffer from corrosion and may overheat and ignite. ","FORD","FOCUS","01/01/2006","31/05/2006"
"05/08/2010","R/2010/083","0c319","Due to high road salt usage in winter  the engine cooling fan module may suffer from corrosion and may overheat and ignite. ","FORD","FOCUS","01/06/2006","25/01/2007"
"16/04/2018","R/2018/101","0032710200","The driver airbag module may not have been produced to specification. This could lead to excessive pressure building up inside the inflator  causing the inflator to rupture  resulting in metal fragments passing through the airbag cushion material into the vehicle interior at high speed. This could lead to injury or death of the vehicle occupants.","BMW","X3","22/12/2017","12/03/2018"
"01.01.2008",NULL,"0032760100, 0032830100","Das Lenkradschloss kannwährend der Fahrt einrasten. ","BMW","5","1995","1996"
"27.05.2015",NULL,"0011630300","Montagefehler am Kettenspanner kann zum Bruch führen und in der Folge zum starken Ölverlust. ","BMW","M550D, 750D, 750LD","2015","2015"
"18/10/2019","R/2019/307","SRPC1935","Improve the vehicle emissions via software updates","MERCEDES-BENZ CARS UK LTD","GLE","01/08/2011","31/05/2018"
"18/10/2019","R/2019/307","SRPC1935","Improve the vehicle emissions via software updates","MERCEDES-BENZ CARS UK LTD","GLE","01/08/2011","31/05/2018"
"18/10/2019","R/2019/307","SRPC1935","Improve the vehicle emissions via software updates","MERCEDES-BENZ CARS UK LTD","GLE","01/08/2011","31/05/2018"
"18/10/2019","R/2019/307","SRPC1935","Improve the vehicle emissions via software updates","MERCEDES-BENZ CARS UK LTD","GLK","01/08/2011","31/05/2018"
"05/02/2020","R/2020/029","SRPC1918","The passenger airbag might not meet specifications","MERCEDES-BENZ CARS UK LTD","GLE","01/06/2018","31/12/2018"
"23/12/2019","R/2019/306","SRL1902","The Natural Gas regulator may develop a crack ","MERCEDES-BENZ TRUCKS UK LTD","ECONIC","28/11/2016","10/06/2019"
"30/07/2002","R/2002/105","2C837","The power assisted steering pump drive pulley may crack or break up.  this could result in the steering being heavy/stiff to operate.","FORD","ESCORT ","13/08/2001","24/09/2001"
"18/09/2019","R/2019/269","SRPC1926","; The software of the radar control unit might not meet the specification","MERCEDES-BENZ CARS UK LTD","CLS","01/02/2017","31/07/2019"
"18/09/2019","R/2019/269","SRPC1926","; The software of the radar control unit might not meet the specification","MERCEDES-BENZ CARS UK LTD","C-CLASS","01/02/2017","31/07/2019"
"18/09/2019","R/2019/269","SRPC1926","; The software of the radar control unit might not meet the specification","MERCEDES-BENZ CARS UK LTD","A CLASS","01/02/2017","31/07/2019"
"18/09/2019","R/2019/269","SRPC1926","; The software of the radar control unit might not meet the specification","MERCEDES-BENZ CARS UK LTD","S-CLASS","01/02/2017","31/07/2019"
"18/09/2019","R/2019/269","SRPC1926","; The software of the radar control unit might not meet the specification","MERCEDES-BENZ CARS UK LTD","GLE","01/02/2017","31/07/2019"
"01.01.2008",NULL,"5C019","Reifenluftdruckaufkleber an der B-Säule des Fahrzeugs weisen den falschen Luftdruck aus. Betroffen sind ausschließlich Wohnmobile. ","FORD","TRANSIT","2004","2005"
"18/09/2019","R/2019/269","SRPC1926","; The software of the radar control unit might not meet the specification","MERCEDES-BENZ CARS UK LTD","E-CLASS","01/02/2017","31/07/2019"
"18/09/2019","R/2019/269","SRPC1926","; The software of the radar control unit might not meet the specification","MERCEDES-BENZ CARS UK LTD","CLA","01/02/2017","31/07/2019"
"18/09/2019","R/2019/269","SRPC1926","; The software of the radar control unit might not meet the specification","MERCEDES-BENZ CARS UK LTD","GLB","01/02/2017","31/07/2019"
"18/09/2019","R/2019/269","SRPC1926","; The software of the radar control unit might not meet the specification","MERCEDES-BENZ CARS UK LTD","AMG GT","01/02/2017","31/07/2019"
"18/09/2019","R/2019/269","SRPC1926","; The software of the radar control unit might not meet the specification","MERCEDES-BENZ CARS UK LTD","B CLASS","01/02/2017","31/07/2019"
"14/01/2020","R/2019/447","SRPC1957","The dashboard airbag flap may not have been manufactured according to specification.","MERCEDES-BENZ CARS UK LTD","V CLASS","03/01/2019","09/05/2019"
"01.01.2008",NULL,"7C102","Mangelhafte Kabeldichtungen am Stecker des ABS-Moduls können zu Korrosion und Kurzschlüssen führen. Es kann zu einem Brand kommen. ","FORD","MAVERICK, ESCAPE","1999","2004"
"25.10.2013",NULL,NULL,"Unterbrechung der Schmierölzufuhr zur Unterdruckpumpe kann zu deren Ausfall und somit zum Ausfall der Bremskraftunterstützung führen. ","BMW","1, 3, 5, X1, X3, Z4","2012","2013"
"24.10.2018",NULL,"18S26","Unzureichende Verklebung kann dazu führen, dass sich das Glasdach löst und in den Verkehrsraum fällt. ","FORD","MONDEO","2017","2017"
"11.01.2019",NULL,"18S22","Der Batteriekabelbaum kann aufgrund einer fehlerhaften Verlegung im Motorraum durch Kontakt mit dem Abgaskrümmer beschädigt werden. ","FORD","MUSTANG","2017","2018"
"26.01.2017",NULL,"16S19","Unvorhergesehenes Herunterschalten des Automatikgetriebes führt zu unsicheren Fahrzuständen. ","FORD","RANGER","2011","2012"
"29/11/2018","R/2018/339","TI82.00M18010A","The USB charging sockets stop working and may overheat.","MERCEDES BENZ BUS","TOURISMO","20/06/2018","21/10/2018"
"29/11/2018","R/2018/339","TI82.00M18010A","The USB charging sockets stop working and may overheat.","MERCEDES BENZ BUS","CITARO","20/06/2018","20/10/2018"
"18.05.2018",NULL,"2790648","Fehlerhaft produzierte Getriebeölkühlerleitung kann zu Ölundichtigkeit führen. ","MERCEDES-BENZ","GLE","2017","2017"
"27.10.2008",NULL,NULL,"Deaktivierungsschalter des Geschwindigkeitsregelsystems kann überhitzen (Brandgefahr). ","FORD","BRONCO, E-150, E-250, E-350, E-550, F-53","1992","2003"
"25.10.2013",NULL,"0026220100","Gelenkscheibe der Gelenkwelle im Antriebsstrang kann brechen und zu plötzlichem Leistungsverlust, sowie Beschädigungen durch die rotierende Gelenkwelle führen. ","BMW","640I CABRIO","2010","2010"
"31/12/2016","R/2017/001","0012390400","It has been identified that the bolt that connects the ground cable from the wiring harness of the Digital Motor Electronics (DME) to the engine block may not have been tightened/torqued to the correct specification. This can lead to an under voltage supply which can trigger a reset of the DME. This can result in the engine cutting out or  depending on vehicle speed  to restart/turn on the engine once the reset has been completed.","BMW","X5","17/08/2015","17/08/2015"
"02.11.2017",NULL,"17S12","Nicht ordnungsgemäß befestigter Schaltseilzug berührt hintere Gelenkwelle. Das kann zur Durchtrennung der Gelenkwelle und zu unsicheren Fahrzuständen führen. ","FORD","RANGER","2011","2011"
"01.01.2008",NULL,NULL,"Korrosion kann zum Kurzschluss im Steuergerät des Lüfters und im ungünstigsten Fall zum Fahrzeugbrand führen. ","BMW","3","2002","2005"
"01.01.2008",NULL,"4C959","Wegen einer falschen Steuergeräteprogrammierung aktiviert sich die elektronische Feststellbremsemöglicherweise nicht. ","FORD","FOCUS, C-MAX","2003","2004"
"14.07.2010",NULL,"0C323","Aufgrund eines nicht korrekt gefertigten Verbindungsgelenks kann sich die Lenkwelle lösen und zum Verlust der Lenkfähigkeit führen. ","FORD","KA","2009","2009"
"14.01.2016",NULL,"0012170400","Durch eine mangelhafte Antriebselektronik kann ein erhöhtes Rekuperations-Moment entstehen, welches zu kritischen Fahrsituationen führen kann. ","BMW","I3, I8","2015","2015"
"07.01.2016",NULL,"0034220200","Fertigungsfehler kann zum Ausfall des Dynamischen Stabilitäts Control Systems führen. ","BMW","I8","2015","2015"
"31.07.2008",NULL,"0061950100","Durch einen ungünstigen Impuls beim Auslösen des Endbeschlagstrammers kann sich das Gurtschloss öffnen. ","BMW","X5","2006","2007"
"23.04.2008",NULL,NULL,"Wegen Feuchtigkeitseintrags in die Entriegelungseinheit des schwenkbaren Kugelkopfes der Anhängevorrichtung kann es zu einer Scheinverriegelung des Kugelkopfes kommen, wodurch sich im Anhängerbetrieb das Fahrverhalten verändert. ","BMW","3","2005","2006"
"01.01.2008",NULL,"4C972","Mögliches Blockieren des Gasseilzuges. ","FORD","MAVERICK","2001","2003"
"01.01.2008",NULL,"0033590100","Ein unzureichend vulkanisiertes Gummilager kann sich vom Stoßdämpfer lösen und zum Verlust der Radführung führen. ","BMW","5, 6, 7","2006","2006"
"01.01.2008",NULL,"5C983","Deaktivierungsschalter des Geschwindigkeitsregelsystems kann überhitzen (Brandgefahr). ","FORD","EXPLORER SPORT TRAC, EXPLORER SPORT, TAURUS, RANGER, EXPEDITION, F-SERIE, CROWN VICTORIA, EXCURSION","1992","2004"
"01.01.2008",NULL,"6C072","In der Nähe des Rußfilters befindliches Dämmmaterial kann sich im Regenerationszyklus entzünden. ","FORD","MONDEO","2006","2006"
"24.04.2012",NULL,"0051020300 (ehemals 00518602009)","Die Makrolon-Heckscheibe ist unzureichend verklebt und kann sich während der Fahrt lösen. ","BMW","M3","2010","2011"
"01.01.2008",NULL,"6U060","Durch eine unzureichende Verschraubung kann sich ein vorderer Querlenker lösen. ","FORD","TRANSIT","2005","2006"
"07.02.2012",NULL,"0011830200","Durch Elektromigration auf der Leiterplatte für die Zusatzkühlmittelpumpe des Abgasturboladers kann es zum Ausfall der Zusatzkühlmittelpumpe und unter Umständen zu einem Schmorbrand kommen. Betroffen sind Fahrzeuge mit 8 und 12 Zylinder-Motoren. ","BMW","5, 6, 7, X5, X6","2007","2010"
"01.01.2008",NULL,"0017270100","Korrosion kann zum Kurzschluss am Lüftergehäuse führen. ","BMW","7","2003","2005"
"01.01.2008",NULL,"5C002","Wasser kann in den Wischermotor eindringen, einen Kurzschluss verursachen und ihn überhitzen. ","FORD","FOCUS, C-MAX","2003","2005"
"01.01.2008",NULL,"6C041","Mangelhafte Ausführung der Ölzufuhrbohrung zu den Nockenwellenlagern kann zum Festlaufen des Motors führen (nur 1.6L Duratorq 80 KW). ","FORD","C-MAX","2004","2004"
